Tên Doanh ngiệp,Mã số thuế,Địa chỉ,Điện thoại
CHI NHÁNH CÔNG TY TNHH YẾN SÀO DAONEST TẠI TP. HỒ CHÍ MINH,4202005819-001,8/1 đường Nguyễn Ảnh Thủ, khu phố 7, tổ 57, Phường Trung Mỹ Tây, Quận 12, Thành phố Hồ Chí Minh, Việt Nam,0828112233
CHI NHÁNH CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN DỊCH VỤ QUẢNG CÁO HOA SEN,0310559408-001,151-153 Đường số 4, Phường Bình Hưng Hòa B, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam
CÔNG TY TNHH TMDV FAHUNU - CHI NHÁNH ĐẠI CÁT,0318547436-001,136/5 Đường Lê Thị Chợ, KDC Thuận Phát, Khu Phố 4, Phường Phú Thuận, Quận 7, Thành phố Hồ Chí Minh, Việt Nam
CÔNG TY TNHH TMDV FAHUNU - CHI NHÁNH TÂM PHÚC,0318547436-005,197/22 Tắc Xuất, khu phố Miễu Nhi, Thị Trấn Cần Thạnh, Huyện Cần Giờ, Thành phố Hồ Chí Minh, Việt Nam
CÔNG TY TNHH TMDV FAHUNU - CHI NHÁNH PHÁT ĐẠT,0318547436-004,Số 86, Dương Cát Lợi, khu phố 4, Thị Trấn Nhà Bè, Huyện Nhà Bè, Thành phố Hồ Chí Minh, Việt Nam
CÔNG TY TNHH TMDV FAHUNU - CHI NHÁNH LỘC PHÁT,0318547436-002,2110/37 Quốc lộ 50, Xã Phong Phú, Huyện Bình Chánh, Thành phố Hồ Chí Minh, Việt Nam
VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH XD - TK - TTNT QUANG THUẬN,0317457187-001,382/17 Tân Kỳ Tân Quý, Phường Sơn Kỳ, Quận Tân Phú, Thành phố Hồ Chí Minh, Việt Nam,0932637634
CÔNG TY TNHH ĐIỆN TỬ SAMSUNG VINA,0521880000,Lầu 25, Tòa nhà tài chính Bitexco, Số 02 Hải Triều, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam
VĂN PHÒNG ĐẠI DIỆN HỒ CHÍ MINH - CÔNG TY TNHH ROYAL DISTRIBUTION,0309590643-015,Tòa nhà 22 -24 Ung Văn Khiêm, Phường 25, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam
VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH XÂY DỰNG - VLXD TÂN TIẾN,2200806898-001,Số 25/8 đường 38, Phường Bình Trưng Tây, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam,0793427362
VĂN PHÒNG ĐẠI DIỆN TẠI THÀNH PHỐ HỒ CHÍ MINH CÔNG TY TNHH THƯƠNG MẠI MIGA VIỆT NAM,0402099239-001,Tầng trệt, Số 158 Đường số 2, KDC Vạn Phúc, Phường Hiệp Bình Phước, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam,0901222577
VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH GREENATA,3603210193-001,14B11 Thảo Điền, Phường Thảo Điền, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam,0908595780
CỬA HÀNG HIỆP LỰC,0302735138-001,462 Lê Hồng Phong, Phường 01, Quận 10, Thành phố Hồ Chí Minh, Việt Nam,02838350532 - 0283
CHI NHÁNH CÔNG TY TNHH FORNIX – KHO CHỨA HÀNG,0311469651-001,1043 Tạ Quang Bửu, Phường 6, Quận 8, Thành phố Hồ Chí Minh, Việt Nam,02862605100
CHI NHÁNH CÔNG TY TNHH SOLINCOTO,0318635844-001,03 Cộng Hoà, Phường 4, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam,0971382538
VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH MỘT THÀNH VIÊN XAY XÁT HOÀNG GIAO,1801531903-001,P.903, Tầng 9, Tòa nhà Diamond Plaza, 34 Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam
CHI NHÁNH CÔNG TY TNHH HÓA CHẤT PHÚC KHANG,0305713894-001,Căn số 00.02, Tháp A2, Khu chung cư phức hợp Lô M1 (Sarimi), 74 đường Nguyễn Cơ Thạch, Phường An Lợi Đông, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam
CHI NHÁNH CÔNG TY TNHH NHA KHOA KIM TRUNG - NHA KHOA AN DƯƠNG VƯƠNG,0317421751-001,351 An Dương Vương, Phường 10, Quận 6, Thành phố Hồ Chí Minh, Việt Nam,0909997550
CHI NHÁNH CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT MINH THÀNH I,0317304783-001,284 Lê Thị Riêng, Phường Thới An, Quận 12, Thành phố Hồ Chí Minh, Việt Nam
